CustomerID,FirstName,LastName,Email,PhoneNumber,Address,City,State,ZipCode,Country
1,Rebecca,Morgan,pgreene@yahoo.com,606.756.0498,95298 Wright Streets Suite 458,Port Michaelchester,MO,80842,Ghana
2,Ronald,Collins,mcunningham@williams.com,775.082.2849x659,54336 James Squares,East Lisa,ND,30310,Dominica
3,Debra,Vargas,edwardsrhonda@gmail.com,(518)814-5159x433,172 Gibbs Drives Suite 550,Michaelfort,NJ,86920,Mali
4,Allison,Cohen,jonathan64@salas.org,(090)344-8578x9981,252 Bobby Pines Apt. 106,West Benjaminfurt,ID,88791,New Caledonia
5,Mary,Williams,stevenrodriguez@yahoo.com,(367)976-9370x1652,98553 Heather Crescent Suite 806,Port Cheryl,OH,68590,Lithuania
6,Sabrina,Gill,tylerwilkerson@hotmail.com,001-497-188-3423x97358,288 Nguyen River,Bakerport,NE,83730,New Caledonia
7,Rachel,Duncan,angelashields@arellano.com,936-340-2213x07198,0967 Sabrina Ville Apt. 347,South John,AK,78796,Wallis and Futuna
8,Todd,Gomez,mpalmer@williams-castro.com,(730)960-5192,62434 Blanchard Land Apt. 833,Lake Melissa,AR,10137,Swaziland
9,Michael,Garcia,hwilliams@jones.com,375-106-9418x3667,153 Faith Walk Apt. 673,Kevinland,MS,54159,Syrian Arab Republic
10,Kathryn,Miller,mwebb@hotmail.com,+1-375-705-6213x4992,623 Samuel Greens,Prestonland,PA,60368,Peru
11,Michael,Hoover,owensmaria@hotmail.com,001-425-572-0160x852,3304 Rivera Ports,South Micheleport,MN,43819,Panama
12,Walter,Jimenez,jvega@henderson.com,001-245-093-1674x65656,029 Hayes Greens Apt. 324,North Jessicaborough,NH,41579,Russian Federation
13,Laura,Perez,christopher91@gmail.com,(109)315-6080,17129 Laura Plains Suite 929,Thomasshire,TX,33064,Brazil
14,Erica,Carpenter,robertfletcher@hotmail.com,(038)319-8860x516,7678 Monique Passage,North Karenfort,LA,86811,Netherlands
15,Judith,Morales,aaron42@nelson.biz,123.869.9535x8969,262 Mcintosh Grove Suite 321,West Jack,TN,33005,Burkina Faso
16,Todd,Holmes,mary71@clay.com,001-314-993-1151,736 Christine Heights,Briannahaven,WI,69724,British Indian Ocean Territory (Chagos Archipelago)
17,Kathleen,Carlson,bgarrett@gmail.com,974-605-0097x61356,60617 Ronald Turnpike Apt. 455,New Christian,GA,57475,Western Sahara
18,David,Watkins,diana77@yahoo.com,805.826.0997x14492,548 Esparza Forest,Johnville,OR,55854,Mexico
19,Corey,Collins,davidsoncassidy@hotmail.com,+1-833-270-5631x8689,607 Michael Views Apt. 569,West Michaelton,CT,80496,Chile
20,Amy,Avila,catherinehuffman@gmail.com,+1-315-089-0051x91570,6503 Young Ridges,Lake Donnaside,HI,46287,Panama
21,Rachel,Meyer,stewartshannon@yahoo.com,439-723-6451x77491,113 Sarah Garden Suite 291,East Savannahfort,GA,43728,British Indian Ocean Territory (Chagos Archipelago)
22,Deborah,Anderson,christinecarey@gmail.com,(497)525-9398,56748 Dunn Plains Suite 571,Mcgrathview,AK,92006,Niger
23,Michael,Miller,bgomez@dennis.com,+1-684-242-3081x3001,3352 Coffey Road,Port Sierra,MI,92184,United States Minor Outlying Islands
24,Carl,Wood,bishopronald@yahoo.com,(816)336-8915x7461,47044 James Mission,West Katherine,IL,20495,Saudi Arabia
25,Jeffrey,Moore,omar30@hotmail.com,047-177-3532x434,1512 Roman Lake Apt. 834,Davidsonborough,KS,99412,Pitcairn Islands
26,Shawn,Roth,davidmiranda@becker-carter.info,(924)367-2368x045,682 Odom Manor,Armstrongside,OR,21145,New Caledonia
27,Laura,Nelson,brian73@yahoo.com,001-549-513-6343x65394,4480 Jones Tunnel,Terrytown,MN,74926,Turks and Caicos Islands
28,Andrea,Morales,baileyharrell@holt.com,879.158.3219x419,4756 Sherry Villages,Duncanview,OH,60070,Somalia
